#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: entities.png (128 x 852)
# $TexturePacker:SmartUpdate:1f029ba0aa131ab5477ede0cf556b6f0:3085b2ea03e2d97691f873330092aa75:7de42156f25b693bd0d7ccd72987ff69$
#

android1;0;1;1;68;76;68;76;0.5;0.5
android2;0;1;79;68;76;68;76;0.5;0.5
android3;0;1;157;68;76;68;76;0.5;0.5
android4;0;1;235;68;76;68;76;0.5;0.5
c;0;113;705;11;12;32;16;0.5454545454545454;0.5833333333333334
cpp;0;67;556;28;12;32;16;0.5;0.5833333333333334
csharp;0;35;837;23;13;32;16;0.5217391304347826;0.5384615384615384
idle_000;0;71;1;36;64;36;64;0.5;0.5
idle_001;0;1;705;36;64;36;64;0.5;0.5
idle_002;0;71;67;36;64;36;64;0.5;0.5
idle_003;0;1;771;35;64;35;64;0.5;0.5
idle_004;0;71;199;34;64;34;64;0.5;0.5
idle_005;0;75;771;34;64;34;64;0.5;0.5
idle_006;0;71;265;34;64;34;64;0.5;0.5
idle_007;0;67;331;34;64;34;64;0.5;0.5
idle_008;0;39;705;35;64;35;64;0.5;0.5
idle_009;0;71;133;35;64;35;64;0.5;0.5
idle_010;0;38;771;35;64;35;64;0.5;0.5
idle_011;0;76;705;35;64;35;64;0.5;0.5
java;0;1;837;32;12;32;16;0.5;0.5833333333333334
mss000;0;60;837;25;10;32;16;0.52;0.5
mss001;0;87;837;24;10;32;16;0.5;0.5
mss010;0;103;331;24;10;32;16;0.5;0.5
mss011;0;103;343;24;10;32;16;0.5;0.5
mss100;0;103;355;24;10;32;16;0.5;0.5
mss101;0;103;367;24;10;32;16;0.5;0.5
mss110;0;103;379;24;10;32;16;0.5;0.5
mss111;0;97;556;24;10;32;16;0.5;0.5
powerup_CPU;0;67;489;38;38;48;48;0.5;0.5
powerup_kaffee;0;67;397;44;48;48;48;0.5;0.5
powerup_Monitor;0;67;447;44;40;48;48;0.5;0.45
powerup_usb;0;67;529;35;25;48;48;0.45714285714285713;0.36
windows1;0;1;577;62;62;64;64;0.5;0.5
windows2;0;65;577;62;62;64;64;0.5;0.5
windows3;0;1;641;62;62;64;64;0.5;0.5
windows4;0;65;641;62;62;64;64;0.5;0.5
WindowsVista_1;0;1;313;64;64;64;64;0.5;0.5
WindowsVista_2;0;1;379;64;64;64;64;0.5;0.5
WindowsVista_3;0;1;445;64;64;64;64;0.5;0.5
WindowsVista_4;0;1;511;64;64;64;64;0.5;0.5
