#
# Sprite sheet data for MonoGame.
#
# To learn how to import these sprites into your MonoGame project visit:
# https://www.codeandweb.com/texturepacker/monogame
#
# Sprite sheet: entities.png (72 x 424)
# $TexturePacker:SmartUpdate:5035eda566c959cfa1916a1c18daae46:be3559230880f2f8a7c4e08e538df91f:7de42156f25b693bd0d7ccd72987ff69$
#

android1;0;1;1;68;76;68;76;0.5;0.5
android2;0;1;79;68;76;68;76;0.5;0.5
android3;0;1;157;68;76;68;76;0.5;0.5
android4;0;1;235;68;76;68;76;0.5;0.5
c;0;38;359;11;12;32;16;0.5454545454545454;0.5833333333333334
cpp;0;38;373;28;12;32;16;0.5;0.5833333333333334
csharp;1;51;313;13;23;32;16;0.5217391304347826;0.5384615384615384
java;1;51;338;12;32;32;16;0.5;0.5833333333333334
mss000;0;1;386;25;10;32;16;0.52;0.5
mss001;1;1;398;10;24;32;16;0.5;0.5
mss010;1;13;398;10;24;32;16;0.5;0.5
mss011;1;25;398;10;24;32;16;0.5;0.5
mss100;0;37;387;24;10;32;16;0.5;0.5
mss101;1;37;399;10;24;32;16;0.5;0.5
mss110;1;49;399;10;24;32;16;0.5;0.5
mss111;1;61;399;10;24;32;16;0.5;0.5
powerup_kaffee;1;1;313;48;44;48;48;0.5;0.5
powerup_usb;0;1;359;35;25;48;48;0.45714285714285713;0.36
